product_id,product_name,top_category,leaf_category,discounted_price,actual_price,discount_percentage,discount_amount,avg_rating_catalog,rating_count_catalog,embedded_user_count,embedded_review_count,review_content_length,est_gmv_proxy
B0B3D39RKV,"OnePlus Nord 2T 5G (Jade Fog, 12GB RAM, 256GB Storage)",Electronics,Smartphones,33999.0,33999.0,0.0,0.0,4.3,17415.0,8,8,5819,592092585.0
B0B3DV7S9B,"EN LIGNE Adjustable Cell Phone Stand, Foldable Portable Phone Stand Phone Holder for Desk, Desktop Tablet Stand Compatible with Mobile Phone/iPad/Tablet (Black)",Electronics,Stands,209.0,499.0,0.58,290.0,3.6,104.0,8,8,213,21736.0
B0B3G5XZN5,"InstaCuppa Portable Blender for Smoothie, Milk Shakes, Crushing Ice and Juices, USB Rechargeable Personal Blender Machine for Kitchen with 4000 mAh Rechargeable Battery, 230 Watt Motor, 500 ML",Home&Kitchen,HandBlenders,2799.0,3499.0,0.2,700.0,4.5,546.0,8,8,1217,1528254.0
B0B3JSWG81,NGI Store 2 Pieces Pet Hair Removers for Your Laundry Catcher Lint Remover for Washing Machine Lint Remover Reusable Portable Silica Gel Clothes Washer Dryer Floating Ball,Home&Kitchen,LintShavers,199.0,999.0,0.8,800.0,3.1,2.0,1,1,144,398.0
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,SmartTelevisions,32999.0,45999.0,0.28,13000.0,4.2,7298.0,8,8,4937,240826702.0
B0B3MQXNFB,"FLiX (Beetel Flow USB to Micro USB PVC Data Sync & 12W(2.4A) Fast Charging Cable,Made in India,480Mbps Data Sync,Solid Cable,1 Meter Long cable for all Andriod & Micro USB Devices (Black)(XCD-FPM01)",Computers&Accessories,USBCables,57.89,199.0,0.71,141.11,4.0,9378.0,8,8,505,542892.42
B0B3MWYCHQ,"Fire-Boltt Ring 3 Smart Watch 1.8 Biggest Display with Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring",Electronics,SmartWatches,2999.0,9999.0,0.7,7000.0,4.2,20881.0,8,8,1847,62622119.0
B0B3N7LR6K,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368*448 Pixel Resolution 100+ Sports Mode, TWS Connection, Voice Assistance, SPO2 & Heart Rate Monitoring",Electronics,SmartWatches,3999.0,16999.0,0.76,13000.0,4.3,17162.0,5,5,5245,68630838.0
B0B3N8VG24,"FLiX (Beetel USB to Type C PVC Data Sync & 15W(3A) TPE Fast Charging Cable, Made in India, 480Mbps Data Sync, 1 Meter Long cable for all Andriod & all Type C Devices (Black)(XCD - FPC02)",Computers&Accessories,USBCables,88.0,299.0,0.71,211.0,4.0,9378.0,8,8,529,825264.0
B0B3NDPCS9,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368*448 Pixel Resolution 100+ Sports Mode, TWS Connection, Voice Assistance, SPO2 & Heart Rate Monitoring",Electronics,SmartWatches,3999.0,17999.0,0.78,14000.0,4.3,17161.0,5,5,5245,68626839.0
B0B3RHX6B6,Ambrane BCL-15 Lightning Cable for Smartphone (1.5m Black),Computers&Accessories,USBCables,149.0,399.0,0.63,250.0,3.9,57.0,8,8,274,8493.0
B0B3RRWSF6,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics,SmartWatches,1998.0,9999.0,0.8,8001.0,4.3,27709.0,8,8,4327,55362582.0
B0B3RS9DNF,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics,SmartWatches,1999.0,9999.0,0.8,8000.0,4.3,27704.0,8,8,4327,55380296.0
B0B3RSDSZ3,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics,SmartWatches,1999.0,9999.0,0.8,8000.0,4.3,27696.0,8,8,4327,55364304.0
B0B3TBY2YX,"AGARO Royal Double Layered Kettle, 1.5 Litres, Double Layered Cool Touch , Dry Boiling Protection, Black",Home&Kitchen,ElectricKettles,1260.0,2299.0,0.45,1039.0,4.3,55.0,8,8,2175,69300.0
B0B3X2BY3M,Crompton Gracee 5-L Instant Water Heater (Geyser),Home&Kitchen,InstantWaterHeaters,3599.0,7299.0,0.51,3700.0,4.0,10324.0,8,8,779,37156076.0
B0B3XXSB1K,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UQ7500PSF (Ceramic Black),Electronics,SmartTelevisions,47990.0,79990.0,0.4,32000.0,4.3,1376.0,8,8,1462,66034240.0
B0B3XY5YT4,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),Electronics,SmartTelevisions,30990.0,49990.0,0.38,19000.0,4.3,1376.0,8,8,1462,42642240.0
B0B466C3G4,Karbonn 80 cm (32 inches) Millenium Bezel-Less Series HD Ready Smart LED TV KJW32SKHD (Phantom Black),Electronics,SmartTelevisions,8990.0,18990.0,0.53,10000.0,3.9,350.0,8,8,1146,3146500.0
